x,y
2012-01-08,82
2012-01-15,74
2012-01-22,71
2012-01-29,62
2012-02-05,61
2012-02-12,56
2012-02-19,62
2012-02-26,60
2012-03-04,61
2012-03-11,57
2012-03-18,59
2012-03-25,56
2012-04-01,56
2012-04-08,59
2012-04-15,57
2012-04-22,54
2012-04-29,55
2012-05-06,61
2012-05-13,58
2012-05-20,65
2012-05-27,71
2012-06-03,72
2012-06-10,73
2012-06-17,77
2012-06-24,86
2012-07-01,94
2012-07-08,100
2012-07-15,100
2012-07-22,89
2012-07-29,85
2012-08-05,82
2012-08-12,76
2012-08-19,72
2012-08-26,66
2012-09-02,58
2012-09-09,55
2012-09-16,51
2012-09-23,49
2012-09-30,47
2012-10-07,45
2012-10-14,44
2012-10-21,45
2012-10-28,43
2012-11-04,42
2012-11-11,42
2012-11-18,41
2012-11-25,37
2012-12-02,35
2012-12-09,37
2012-12-16,40
2012-12-23,53
2012-12-30,73
2013-01-06,76
2013-01-13,70
2013-01-20,67
2013-01-27,64
2013-02-03,58
2013-02-10,57
2013-02-17,59
2013-02-24,56
2013-03-03,53
2013-03-10,57
2013-03-17,56
2013-03-24,57
2013-03-31,55
2013-04-07,50
2013-04-14,46
2013-04-21,49
2013-04-28,52
2013-05-05,51
2013-05-12,56
2013-05-19,63
2013-05-26,64
2013-06-02,61
2013-06-09,69
2013-06-16,72
2013-06-23,83
2013-06-30,84
2013-07-07,83
2013-07-14,88
2013-07-21,83
2013-07-28,81
2013-08-04,80
2013-08-11,77
2013-08-18,70
2013-08-25,62
2013-09-01,56
2013-09-08,54
2013-09-15,47
2013-09-22,44
2013-09-29,43
2013-10-06,43
2013-10-13,44
2013-10-20,42
2013-10-27,44
2013-11-03,44
2013-11-10,42
2013-11-17,41
2013-11-24,38
2013-12-01,37
2013-12-08,40
2013-12-15,41
2013-12-22,53
2013-12-29,77
2014-01-05,86
2014-01-12,81
2014-01-19,74
2014-01-26,68
2014-02-02,65
2014-02-09,59
2014-02-16,60
2014-02-23,54
2014-03-02,52
2014-03-09,52
2014-03-16,55
2014-03-23,51
2014-03-30,48
2014-04-06,52
2014-04-13,53
2014-04-20,53
2014-04-27,51
2014-05-04,52
2014-05-11,54
2014-05-18,59
2014-05-25,62
2014-06-01,66
2014-06-08,67
2014-06-15,69
2014-06-22,76
2014-06-29,81
2014-07-06,87
2014-07-13,88
2014-07-20,99
2014-07-27,97
2014-08-03,91
2014-08-10,87
2014-08-17,79
2014-08-24,70
2014-08-31,63
2014-09-07,60
2014-09-14,56
2014-09-21,52
2014-09-28,48
2014-10-05,50
2014-10-12,51
2014-10-19,48
2014-10-26,45
2014-11-02,44
2014-11-09,43
2014-11-16,45
2014-11-23,41
2014-11-30,38
2014-12-07,43
2014-12-14,47
2014-12-21,52
2014-12-28,69
2015-01-04,83
2015-01-11,83
2015-01-18,77
2015-01-25,71
2015-02-01,63
2015-02-08,60
2015-02-15,64
2015-02-22,64
2015-03-01,62
2015-03-08,58
2015-03-15,58
2015-03-22,55
2015-03-29,55
2015-04-05,55
2015-04-12,52
2015-04-19,55
2015-04-26,57
2015-05-03,58
2015-05-10,59
2015-05-17,66
2015-05-24,70
2015-05-31,66
2015-06-07,75
2015-06-14,78
2015-06-21,85
2015-06-28,85
2015-07-05,88
2015-07-12,94
2015-07-19,97
2015-07-26,96
2015-08-02,91
2015-08-09,86
2015-08-16,79
2015-08-23,71
2015-08-30,64
2015-09-06,56
2015-09-13,52
2015-09-20,49
2015-09-27,47
2015-10-04,49
2015-10-11,46
2015-10-18,45
2015-10-25,43
2015-11-01,44
2015-11-08,42
2015-11-15,40
2015-11-22,35
2015-11-29,36
2015-12-06,38
2015-12-13,42
2015-12-20,47
2015-12-27,65
2016-01-03,79
2016-01-10,75
2016-01-17,68
2016-01-24,68
2016-01-31,62
2016-02-07,62
2016-02-14,62
2016-02-21,59
2016-02-28,55
2016-03-06,56
2016-03-13,54
2016-03-20,53
2016-03-27,51
2016-04-03,47
2016-04-10,49
2016-04-17,53
2016-04-24,53
2016-05-01,48
2016-05-08,57
2016-05-15,62
2016-05-22,60
2016-05-29,63
2016-06-05,65
2016-06-12,66
2016-06-19,71
2016-06-26,78
2016-07-03,84
2016-07-10,94
2016-07-17,98
2016-07-24,94
2016-07-31,93
2016-08-07,83
2016-08-14,71
2016-08-21,66
2016-08-28,62
2016-09-04,57
2016-09-11,57
2016-09-18,48
2016-09-25,47
2016-10-02,45
2016-10-09,44
2016-10-16,43
2016-10-23,41
2016-10-30,40
2016-11-06,37
2016-11-13,39
2016-11-20,38
2016-11-27,34
2016-12-04,34
2016-12-11,39
2016-12-18,37
2016-12-25,59
2017-01-01,82
